field,placeholder_value,unit,source_or_action,uncertainty_notes
origin_airport,"San Francisco (SFO)",,"Replace/verify coordinates with cited government/geospatial source", "Canonical route"
destination_airport,"Beijing (PEK)",,"Replace/verify coordinates with cited government/geospatial source", "Canonical route"
door_to_door_target,60,min,"Frozen study target", "Includes all listed components"
origin_ground_access,5-15,min,"Public airport access / process literature", "Scenario range"
checkin_security,10-20,min,"Public airport process guidance", "Scenario range"
boarding,5-10,min,"Public airport process guidance", "Scenario range"
ground_operations,3-8,min,"Explicit low-order placeholder; source before expansion", "Scenario range"
arrival_egress,5-15,min,"Public airport arrival-process guidance", "Scenario range"
routing_margin,0.00-0.25,fraction,"Sensitivity range; justify with public route/airspace data", "Not a trajectory"
climb_descent_time,8-15,min,"Public performance literature range", "Separate from cruise time"
L_over_D_screen,4-12,dimensionless,"Peer-reviewed/public transport literature", "Screening envelope, not target"
allocated_mass,90-180,kg/passenger,"Public payload accounting conventions", "Includes baggage and allocated systems mass"
payload_efficiency,0.35-0.75,fraction,"Document definition and source before use", "Proxy parameter"
human_acceleration_limit,,g,"NASA/FAA/EASA human-factors sources", "Must distinguish comfort from injury limits"
noise_or_boom_limit,,dB,"FAA/EASA/ICAO/public sonic-boom research", "Likely unresolved until route context is specified"
